t	F18
5.42	1277520
5.43	1272777
5.44	1267957
5.45	1263338
5.46	1258510
5.47	1253881
5.48	1249069
5.49	1244310
5.5	1239406
5.51	1234680
5.52	1230153
5.53	1225450
5.54	1220929
5.55	1216352
5.56	1211697
5.57	1207088
5.58	1202653
5.59	1198084
5.6	1193483
5.61	1189000
5.62	1184497
5.63	1180018
5.64	1175416
5.65	1171086
5.66	1166593
5.67	1162262
5.68	1157819
5.69	1153345
5.7	1148948
5.71	1144612
5.72	1140248
5.73	1135896
5.74	1131499
5.75	1127165
5.76	1122783
5.77	1118505
5.78	1114184
5.79	1109963
5.8	1105783
5.81	1101581
5.82	1097540
5.83	1093317
5.84	1089298
5.85	1085174
5.86	1081084
5.87	1076994
5.88	1072879
5.89	1068777
5.9	1064632
5.91	1060567
5.92	1056475
5.93	1052499
5.94	1048537
5.95	1044646
5.96	1040659
5.97	1036748
5.98	1032793
5.99	1028954
6	1025014
6.01	1021049
6.02	1017279
6.03	1013369
6.04	1009550
6.05	1005797
6.06	1002027
6.07	998161
6.08	994354
6.09	990606
6.1	986955
6.11	983214
6.12	979423
6.13	975663
6.14	972001
6.15	968198
6.16	964556
6.17	960877
6.18	957165
6.19	953655
6.2	950067
6.21	946410
6.22	942829
6.23	939262
6.24	935749
6.25	932164
6.26	928599
6.27	925098
6.28	921577
6.29	918106
6.3	914595
6.31	911148
6.32	907726
6.33	904329
6.34	900968
6.35	897554
6.36	894161
6.37	890825
6.38	887455
6.39	884094
6.4	880768
6.41	877471
6.42	874247
6.43	870910
6.44	867666
6.45	864332
6.46	861079
6.47	857829
6.48	854501
6.49	851246
6.5	848131
6.51	844849
6.52	841713
6.53	838519
6.54	835323
6.55	832268
6.56	829180
6.57	826022
6.58	822913
6.59	819839
6.6	816721
6.61	813617
6.62	810524
6.63	807430
6.64	804335
6.65	801326
6.66	798263
6.67	795211
6.68	792231
6.69	789159
6.7	786172
6.71	783229
6.72	780173
6.73	777317
6.74	774350
6.75	771430
6.76	768518
6.77	765695
6.78	762793
6.79	759911
6.8	756901
6.81	754047
6.82	751232
6.83	748323
6.84	745468
6.85	742618
6.86	739765
6.87	736945
6.88	734139
6.89	731421
6.9	728639
6.91	725861
6.92	723038
6.93	720274
6.94	717485
6.95	714808
6.96	712082
6.97	709470
6.98	706671
6.99	703987
7	701302
7.01	698634
7.02	695997
7.03	693286
7.04	690604
7.05	688003
7.06	685418
7.07	682739
7.08	680116
7.09	677558
7.1	674920
7.11	672309
7.12	669831
7.13	667314
7.14	664792
7.15	662258
7.16	659680
7.17	657106
7.18	654598
7.19	652198
7.2	649694
7.21	647267
7.22	644819
7.23	642330
7.24	639881
7.25	637470
7.26	635053
7.27	632586
7.28	630223
7.29	627818
7.3	625473
7.31	623119
7.32	620695
7.33	618298
7.34	616005
7.35	613608
7.36	611220
7.37	608910
7.38	606537
7.39	604235
7.4	601986
7.41	599708
7.42	597433
7.43	595208
7.44	592998
7.45	590634
7.46	588348
7.47	586163
7.48	583891
7.49	581645
7.5	579429
7.51	577258
7.52	575023
7.53	572850
7.54	570669
7.55	568516
7.56	566363
7.57	564176
7.58	562025
7.59	559793
7.6	557651
7.61	555645
7.62	553590
7.63	551516
7.64	549388
7.65	547300
7.66	545268
7.67	543245
7.68	541203
7.69	539203
7.7	537216
7.71	535165
7.72	533147
7.73	531097
7.74	529022
7.75	526976
7.76	525010
7.77	523099
7.78	521060
7.79	519096
7.8	517109
7.81	515205
7.82	513299
7.83	511300
7.84	509392
7.85	507457
7.86	505574
7.87	503645
7.88	501762
7.89	499897
7.9	497968
7.91	496062
7.92	494181
7.93	492293
7.94	490405
7.95	488509
7.96	486708
7.97	484906
7.98	483072
7.99	481280
8	479411
8.01	477578
8.02	475772
8.03	473943
8.04	472208
8.05	470393
8.06	468678
8.07	466925
8.08	465178
8.09	463412
8.1	461704
8.11	459972
8.12	458239
8.13	456505
8.14	454814
8.15	453078
8.16	451420
8.17	449731
8.18	448018
8.19	446354
8.2	444606
8.21	442946
8.22	441236
8.23	439565
8.24	437866
8.25	436251
8.26	434583
8.27	432892
8.28	431291
8.29	429611
8.3	427956
8.31	426315
8.32	424643
8.33	423046
